filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,kao,distance,èÍèä
DSD06656-1221,8,19,female,0,0,0,0,0,0.991,0.009,0,35.67118692,139.704886,65,35,ìy,2019/12/21,2,0,0,153.8,13.8375641,2
DSD06657-1221,1,38,female,0,0,0,0,0,0.999,0,0,35.67113806,139.7049958,942,35,ìy,2019/12/21,2,0,0,153.8,0.987406228,2
DSD06657-1221,2,38,male,0,0.001,0,0,0.52,0.477,0,0.002,35.67113806,139.7049958,318,35,ìy,2019/12/21,2,1,1,161.9,3.004863732,2
DSD06657-1221,3,20,male,0,0,0,0,0,0.999,0.001,0,35.67113806,139.7049958,276,35,ìy,2019/12/21,2,1,0,161.9,3.456799517,2
DSD06657-1221,4,18,male,0,0,0,0,0,0.979,0.02,0.001,35.67113806,139.7049958,180,35,ìy,2019/12/21,2,1,0,161.9,5.281759259,2
DSD06658-1221,1,30,male,0,0,0,0,0,0.986,0.014,0,35.67109639,139.7050372,582,35,ìy,2019/12/21,2,1,0,161.9,1.657709049,2
DSD06658-1221,2,34,male,0,0.001,0,0,0.876,0.122,0,0,35.67109639,139.7050372,226,35,ìy,2019/12/21,2,1,1,161.9,4.213834808,2
DSD06658-1221,3,19,female,0.001,0,0,0,0.002,0.979,0.016,0,35.67109639,139.7050372,179,35,ìy,2019/12/21,2,0,0,153.8,5.047104283,2
DSD06659-1221,1,19,female,0,0,0,0,0,0.997,0.003,0,35.67108535,139.7050897,411,35,ìy,2019/12/21,2,0,0,153.8,2.217887267,2
DSD06659-1221,2,22,male,0,0,0,0,0,0.999,0.001,0,35.67108535,139.7050897,394,35,ìy,2019/12/21,2,1,0,161.9,2.431996616,2
DSD06659-1221,3,8,male,0,0,0,0,0,0.997,0,0.003,35.67108535,139.7050897,243,35,ìy,2019/12/21,2,1,0,161.9,3.92148834,2
DSD06660-1221,1,21,female,0,0,0,0,0,0.992,0.008,0,35.67106306,139.7051628,215,35,ìy,2019/12/21,2,0,0,153.8,4.207868217,2
DSD06660-1221,2,20,female,0,0,0,0,1,0,0,0,35.67106306,139.7051628,169,35,ìy,2019/12/21,2,0,1,153.8,5.343678501,2
DSD06660-1221,3,22,female,0,0.003,0,0,0,0.807,0.189,0,35.67106306,139.7051628,114,35,ìy,2019/12/21,2,0,0,153.8,7.904883041,2
DSD06661-1221,1,31,male,0,0,0,0,0,0.946,0.053,0,35.67101972,139.7052383,556,35,ìy,2019/12/21,2,1,0,161.9,1.733591127,2
DSD06661-1221,2,24,female,0,0.004,0,0,0.717,0.28,0,0,35.67101972,139.7052383,520,35,ìy,2019/12/21,2,0,1,153.8,1.760320513,2
DSD06661-1221,3,22,male,0,0,0,0,0,1,0,0,35.67101972,139.7052383,317,35,ìy,2019/12/21,2,1,0,161.9,3.014232387,2
